,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
67,2.5199129251946997,1.2972031783454028,0.0,0.0,,,,,,,,,,,
68,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,,
69,2.5199129251946997,1.2972031783454028,0.0,0.0,,,,,,,,,,,
70,"(13, 0, 0)","(9, 2, 0)","(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,
71,2.5199129251946997,1.2972031783454028,0.0,0.0,,,,,,,,,,,
72,"(20, 0, 0)","(16, 0, 0)","(12, 2, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
73,2.5199129251946997,1.2972031783454028,0.0,0.0,,,,,,,,,,,
74,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
75,2.5199129251946997,1.2972031783454028,0.0,0.0,,,,,,,,,,,
76,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
77,2.5199129251946997,1.2972031783454028,0.0,0.0,,,,,,,,,,,
78,"(0, 1, 0)","(1, 2, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
79,2.5199129251946997,1.2972031783454028,0.0,0.0,,,,,,,,,,,
80,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
81,2.5199129251946997,1.2972031783454028,0.0,0.0,,,,,,,,,,,
82,"(4, 2, 10)","(8, 2, 10)",,,,,,,,,,,,,
83,2.5199129251946997,1.2972031783454028,0.0,0.0,,,,,,,,,,,
84,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
85,2.205122135414889,1.2972031783454028,0.0,0.0,,,,,,,,,,,
86,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
87,2.205122135414889,1.2972031783454028,0.0,0.0,,,,,,,,,,,
88,"(22, 3, 0)","(21, 1, 0)","(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,
89,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
90,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
91,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
92,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
93,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
94,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,,
95,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
96,"(5, 3, 0)","(4, 2, 10)","(8, 2, 10)",,,,,,,,,,,,
97,2.0764044277228915,1.4657600765914585,0.0,0.0,,,,,,,,,,,
98,"(0, 1, 0)","(1, 2, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
