,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,"(1, 1, 19)","(2, 0, 19)",,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,,,,,,,,,,
2,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 2, 0)","(7, 0, 0)","(3, 3, 19)","(2, 0, 19)",,,,,,,
3,0.0,0.0,0.0,0.0,,,,,,,,,,
4,"(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
5,0.0,0.0,0.0,0.0,,,,,,,,,,
6,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,
7,0.0,0.0,0.0,0.0,,,,,,,,,,
8,"(0, 2, 0)","(4, 0, 0)","(0, 2, 0)","(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,
9,0.0,0.0,0.0,0.0,,,,,,,,,,
10,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
11,0.0,0.0,0.0,0.0,,,,,,,,,,
12,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
13,0.0,0.0,0.0,0.0,,,,,,,,,,
14,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
15,0.0,0.0,0.0,0.0,,,,,,,,,,
16,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
17,0.0,0.0,0.0,0.0,,,,,,,,,,
18,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,
19,0.0,0.0,0.0,0.0,,,,,,,,,,
20,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
21,0.0,0.0,0.0,0.0,,,,,,,,,,
22,"(16, 0, 0)","(12, 1, 0)","(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,
23,0.0,0.0,0.0,0.0,,,,,,,,,,
24,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
25,0.0,0.0,0.0,0.0,,,,,,,,,,
26,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
27,0.0,0.0,0.0,0.0,,,,,,,,,,
28,"(17, 0, 0)","(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,
29,0.0,0.0,0.0,0.0,,,,,,,,,,
30,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
31,0.0,0.0,0.0,0.0,,,,,,,,,,
32,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
33,0.0,0.0,0.0,0.0,,,,,,,,,,
34,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,
35,1.641828190276709,0.0,0.0,0.0,,,,,,,,,,
36,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,
37,1.641828190276709,0.0,0.0,0.0,,,,,,,,,,
38,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
39,1.641828190276709,0.0,0.0,0.0,,,,,,,,,,
40,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
41,1.641828190276709,0.0,0.0,0.0,,,,,,,,,,
42,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
43,1.641828190276709,0.0,0.0,0.0,,,,,,,,,,
44,"(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
45,1.641828190276709,0.0,0.0,0.0,,,,,,,,,,
46,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
47,1.641828190276709,0.0,0.0,0.0,,,,,,,,,,
48,"(17, 2, 0)","(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,
49,2.3113637916644034,0.0,0.0,0.0,,,,,,,,,,
