,0,1,2,3,4,5,6,7,8,9,10,11,12,13
68,"(23, 0, 0)","(19, 2, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,
69,0.10201933858815998,0.0,0.0,0.0,,,,,,,,,,
70,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
71,0.10201933858815998,0.0,0.0,0.0,,,,,,,,,,
72,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
73,0.10201933858815998,0.0,0.0,0.0,,,,,,,,,,
74,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
75,0.10201933858815998,0.0,0.0,0.0,,,,,,,,,,
76,"(7, 2, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
77,0.10201933858815998,0.0,0.0,0.0,,,,,,,,,,
78,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
79,0.10201933858815998,0.0,0.0,0.0,,,,,,,,,,
80,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
81,0.10201933858815998,0.0,0.0,0.0,,,,,,,,,,
82,"(21, 0, 0)","(17, 3, 0)","(16, 2, 0)","(20, 1, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,
83,0.21697371455406073,0.0,0.0,0.0,,,,,,,,,,
84,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
85,0.21697371455406073,0.0,0.0,0.0,,,,,,,,,,
86,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
87,0.21697371455406073,0.0,0.0,0.0,,,,,,,,,,
88,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
89,0.21697371455406073,0.0,0.0,0.0,,,,,,,,,,
90,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
91,0.21697371455406073,0.0,0.0,0.0,,,,,,,,,,
92,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
93,0.21697371455406073,0.0,0.0,0.0,,,,,,,,,,
94,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
95,0.21697371455406073,0.0,0.0,0.0,,,,,,,,,,
96,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
97,0.21697371455406073,0.0,0.0,0.0,,,,,,,,,,
