,0,1,2,3,4,5,6,7,8,9,10,11,12
75,1.4680989583333333,0.0,0.0,0.0,,,,,,,,,
76,"(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,,
77,1.4680989583333333,0.0,0.0,0.0,,,,,,,,,
78,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,
79,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
80,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
81,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
82,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
83,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
84,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
85,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
86,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
87,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
88,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
89,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
90,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
91,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
92,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
93,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
94,"(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,
95,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
96,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
97,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
98,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
99,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
100,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
101,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
102,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
103,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
104,"(22, 1, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,
105,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
106,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
107,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
108,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
109,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
110,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,
111,1.677998860677083,0.0,0.0,0.0,,,,,,,,,
112,"(21, 3, 0)","(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
113,1.677998860677083,0.0,0.0,0.7855631510416667,,,,,,,,,
114,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
115,1.677998860677083,0.0,0.0,0.7855631510416667,,,,,,,,,
116,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,
117,1.822163899739583,0.0,0.0,0.7855631510416667,,,,,,,,,
118,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
119,1.822163899739583,0.0,0.0,0.7855631510416667,,,,,,,,,
120,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
121,1.822163899739583,0.0,0.0,0.7855631510416667,,,,,,,,,
122,"(22, 1, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,
123,1.822163899739583,0.0,0.0,0.7855631510416667,,,,,,,,,
124,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
125,1.822163899739583,0.0,0.0,0.7855631510416667,,,,,,,,,
126,"(0, 2, 0)","(4, 0, 0)","(0, 1, 0)","(1, 3, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,
127,1.822163899739583,0.0,0.0,0.7855631510416667,,,,,,,,,
128,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
129,1.822163899739583,0.0,0.0,0.7855631510416667,,,,,,,,,
130,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,
131,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
132,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
133,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
134,"(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,
135,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
136,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
137,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
138,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
139,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
140,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
141,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
142,"(9, 3, 10)","(8, 3, 10)",,,,,,,,,,,
143,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
144,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
145,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
146,"(22, 1, 0)","(23, 0, 0)","(19, 0, 0)","(15, 2, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,
147,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
148,"(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,,
149,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
150,"(22, 1, 0)","(23, 0, 0)","(19, 2, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,
151,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
152,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,
153,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
154,"(22, 1, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 2, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,
155,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
156,"(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,,
157,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
158,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
159,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
160,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
161,1.9019012451171873,0.0,0.0,0.7855631510416667,,,,,,,,,
162,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,
163,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
164,"(22, 1, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,
165,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
166,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
167,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
168,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
169,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
170,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,
171,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
172,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
173,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
174,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
175,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
176,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
177,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
178,"(22, 1, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,
179,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
180,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
181,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
182,"(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,,
183,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
184,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
185,1.9484015305836992,0.0,0.0,0.7855631510416667,,,,,,,,,
186,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,
187,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
188,"(0, 2, 0)","(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,
189,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
190,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
191,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
192,"(17, 0, 0)","(13, 2, 0)","(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,
193,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
194,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
195,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
196,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
197,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
198,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,
199,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
200,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
201,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
202,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,
203,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
204,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
205,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
206,"(23, 0, 0)","(19, 2, 0)","(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,
207,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
208,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
209,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
210,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
211,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
212,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
213,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
214,"(19, 0, 0)","(15, 2, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,
215,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
216,"(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,,
217,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
218,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
219,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
220,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
221,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
222,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
223,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
224,"(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,
225,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
226,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
227,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
228,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
229,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
230,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
231,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
232,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
233,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
234,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
235,1.9729122122128802,0.0,0.0,0.7855631510416667,,,,,,,,,
236,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
