,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.0,0.0,19.0,1.5048000000000001,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.697643354771549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,19.0,2.6368200000000006,0.0,0.011295849600000005,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013532037120000007,0.0,0.0,0.0,0.0,2.0413103065433247,0.0,0.04117289033762956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001072832987782974,0.0
2,0.0,0.0,19.0,3.350232000000001,0.0,0.007287850368000012,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013532037120000007,0.0,0.0,0.0,0.0,2.1529160505175304,0.0,0.050882197136849314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001072832987782974,0.0
3,0.0,0.0,19.0,4.205368800000001,0.0,-0.005098760351999977,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003509999999999999,0.0,0.0,0.0,0.0,0.00013532037120000007,0.0,0.0,0.0,0.0,2.2331225421464365,0.0,0.06637195495150734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03492405904244235,0.0,0.0,0.0,0.0,0.001072832987782974,0.0
4,0.0,0.0,19.0,4.7838686400000014,0.0,-0.01321852435199997,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.664535259100376e-18,0.0,0.0,0.0,-0.007019999999999998,0.0,0.0,0.0,0.0,0.00013532037120000007,0.0,0.0,0.0,0.0,2.2654566558340132,0.0,0.07083798450908833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515118884508125e-17,0.0,0.0,0.0,0.04913999999999999,0.0,0.0,0.0,0.0,0.001072832987782974,0.0
5,0.0,0.0,19.0,5.249007792000001,0.0,-0.017697252383999964,0.0,0.0,10.0,0.036000000000000004,0.0,0.0,0.0,2.664535259100376e-18,0.0,0.0,0.0,-0.010529999999999994,0.0,0.0,0.0,0.0,0.00013532037120000007,0.0,0.0,0.0,0.0,2.190119192174321,0.0,0.07098880041005028,0.0,0.0,0.0,0.252,0.0,0.0,0.0,1.515118884508125e-17,0.0,0.0,0.0,0.059876114603404224,0.0,0.0,0.0,0.0,0.001072832987782974,0.0
6,0.0,0.0,19.0,5.854859424000001,0.0,-0.01986715209599996,0.0,0.0,10.0,0.036000000000000004,0.0,0.0,0.0,0.004320000000000005,0.0,0.0,0.0,-0.013057199999999991,0.0,0.0,0.0,0.0,0.00014172917760000008,0.0,0.0,0.0,0.0,1.9708467225614725,0.0,0.06876361654838861,0.0,0.0,0.0,0.252,0.0,0.0,0.0,0.04298345728300601,0.0,0.0,0.0,0.0624389640541865,0.0,0.0,0.0,0.0,0.0010928747147655243,0.0
7,0.0,0.0,19.0,6.2503028064000015,0.0,-0.02178273513599996,0.0,0.0,10.0,0.08017771248000001,0.0,0.0,0.0,0.008640000000000005,0.0,0.0,0.0,-0.01483919999999999,0.0,0.0,0.0,0.0,0.00014172917760000008,0.0,0.0,0.0,0.0,1.8453702307650444,0.0,0.06631262677377388,0.0,0.0,0.0,0.3603595878591677,0.0,0.0,0.0,0.06048000000000001,0.0,0.0,0.0,0.06454816223069404,0.0,0.0,0.0,0.0,0.0010928747147655243,0.0
8,0.0,0.0,19.0,6.5542838976,0.0,-0.021957171551999957,0.0,0.0,10.0,0.11607163321947428,0.0,0.0,0.0,0.025056000000000012,0.0,0.0,0.0,-0.018403199999999988,0.0,0.0,0.0,0.0,0.0009372713007701655,0.0,0.0,0.0,0.0,1.7947679871152487,0.0,0.06660553767534752,0.0,0.0,0.0,0.4715863166810281,0.0,0.0,0.0,0.1300571138538758,0.0,0.0,0.0,0.06843313622624639,0.0,0.0,0.0,0.0,0.005770050327963549,0.0
9,0.0,0.0,19.0,6.9074854099200005,0.0,-0.017637171551999956,0.0,0.0,10.0,0.15207163321947426,0.0,0.0,0.0,0.025056000000000012,0.0,0.0,0.0,-0.018781199999999987,0.0,0.0,0.0,0.0,0.0009372713007701655,0.0,0.0,0.0,0.0,1.6834529889271475,0.0,0.08045859314722957,0.0,0.0,0.0,0.5268211238067213,0.0,0.0,0.0,0.1300571138538758,0.0,0.0,0.0,0.07034687505895336,0.0,0.0,0.0,0.0,0.005770050327963549,0.0
